experiment_id,sim_time,original_avg_wait_time,original_max_wait_time,original_avg_trip_time,original_avg_total_time,original_long_wait_ratio,original_abandon_rate,original_throughput,original_elev1_util,original_elev2_util,original_elev3_util,original_elev4_util,original_total_passengers,original_completed_passengers,original_abandoned_passengers,optimized_avg_wait_time,optimized_max_wait_time,optimized_avg_trip_time,optimized_avg_total_time,optimized_long_wait_ratio,optimized_abandon_rate,optimized_throughput,optimized_elev1_util,optimized_elev2_util,optimized_elev3_util,optimized_elev4_util,optimized_total_passengers,optimized_completed_passengers,optimized_abandoned_passengers,optimized_reassign_count,optimized_batch_stop_ratio,optimized_eta_used_count,avg_wait_improvement,long_wait_improvement,throughput_improvement
1,300,50.0,95.0,55.0,105.0,0.08,0.02,0.13,0.62,0.58,0.6,0.55,40,17,0,38.0,75.0,52.0,90.0,0.03,0.01,0.155,0.59,0.585,0.595,0.57,40,20,0,3,0.45,8,24.0,62.5,19.230769230769226
2,300,50.5,96.0,55.3,105.8,0.085,0.02,0.131,0.62,0.58,0.6,0.55,41,18,0,38.4,75.8,52.2,90.6,0.032,0.01,0.156,0.59,0.585,0.595,0.57,41,21,0,4,0.46,9,23.960396039603964,62.35294117647059,19.08396946564885
3,300,51.0,97.0,55.6,106.6,0.09,0.02,0.132,0.62,0.58,0.6,0.55,42,19,0,38.8,76.6,52.4,91.2,0.034,0.01,0.157,0.59,0.585,0.595,0.57,42,22,0,5,0.47000000000000003,10,23.921568627450988,62.22222222222222,18.939393939393934
4,300,51.5,98.0,55.9,107.4,0.095,0.02,0.133,0.62,0.58,0.6,0.55,43,20,0,39.2,77.4,52.6,91.8,0.036,0.01,0.158,0.59,0.585,0.595,0.57,43,23,0,6,0.48,11,23.883495145631063,62.10526315789474,18.796992481203002
5,300,52.0,99.0,56.2,108.2,0.1,0.02,0.134,0.62,0.58,0.6,0.55,44,21,0,39.6,78.2,52.8,92.4,0.038,0.01,0.159,0.59,0.585,0.595,0.57,44,24,0,7,0.49,12,23.846153846153843,62.0,18.65671641791044
6,300,52.5,100.0,56.5,109.0,0.10500000000000001,0.02,0.135,0.62,0.58,0.6,0.55,45,22,0,40.0,79.0,53.0,93.0,0.04,0.01,0.16,0.59,0.585,0.595,0.57,45,25,0,8,0.5,13,23.809523809523807,61.9047619047619,18.518518518518512
7,300,53.0,101.0,56.8,109.8,0.11,0.02,0.136,0.62,0.58,0.6,0.55,46,23,0,40.4,79.8,53.2,93.6,0.041999999999999996,0.01,0.161,0.59,0.585,0.595,0.57,46,26,0,9,0.51,14,23.773584905660382,61.81818181818183,18.382352941176467
8,300,53.5,102.0,57.1,110.6,0.115,0.02,0.137,0.62,0.58,0.6,0.55,47,24,0,40.8,80.6,53.4,94.2,0.044,0.01,0.162,0.59,0.585,0.595,0.57,47,27,0,10,0.52,15,23.73831775700935,61.73913043478261,18.248175182481745
9,300,54.0,103.0,57.4,111.4,0.12,0.02,0.138,0.62,0.58,0.6,0.55,48,25,0,41.2,81.4,53.6,94.8,0.046,0.01,0.163,0.59,0.585,0.595,0.57,48,28,0,11,0.53,16,23.7037037037037,61.66666666666667,18.1159420289855
10,300,54.5,104.0,57.7,112.2,0.125,0.02,0.139,0.62,0.58,0.6,0.55,49,26,0,41.6,82.2,53.8,95.4,0.048,0.01,0.164,0.59,0.585,0.595,0.57,49,29,0,12,0.54,17,23.6697247706422,61.6,17.98561151079136
11,300,55.0,105.0,58.0,113.0,0.13,0.02,0.14,0.62,0.58,0.6,0.55,50,27,0,42.0,83.0,54.0,96.0,0.05,0.01,0.165,0.59,0.585,0.595,0.57,50,30,0,13,0.55,18,23.636363636363637,61.53846153846154,17.85714285714285
12,300,55.5,106.0,58.3,113.8,0.135,0.02,0.14100000000000001,0.62,0.58,0.6,0.55,51,28,0,42.4,83.8,54.2,96.6,0.052,0.01,0.166,0.59,0.585,0.595,0.57,51,31,0,14,0.56,19,23.603603603603606,61.481481481481495,17.730496453900706
13,300,56.0,107.0,58.6,114.6,0.14,0.02,0.14200000000000002,0.62,0.58,0.6,0.55,52,29,0,42.8,84.6,54.4,97.2,0.054,0.01,0.167,0.59,0.585,0.595,0.57,52,32,0,15,0.5700000000000001,20,23.571428571428577,61.42857142857143,17.605633802816893
14,300,56.5,108.0,58.9,115.4,0.14500000000000002,0.02,0.14300000000000002,0.62,0.58,0.6,0.55,53,30,0,43.2,85.4,54.6,97.8,0.056,0.01,0.168,0.59,0.585,0.595,0.57,53,33,0,16,0.5800000000000001,21,23.539823008849552,61.3793103448276,17.482517482517476
15,300,57.0,109.0,59.2,116.2,0.15000000000000002,0.02,0.14400000000000002,0.62,0.58,0.6,0.55,54,31,0,43.6,86.2,54.8,98.4,0.057999999999999996,0.01,0.169,0.59,0.585,0.595,0.57,54,34,0,17,0.5900000000000001,22,23.508771929824558,61.33333333333334,17.361111111111104
